Sample,Twist_0.13R,Twist_0.19R,Twist_0.47R,Twist_0.50R,Twist_0.74R,Twist_0.82R,Twist_0.85R,Twist_0.86R,Twist_0.93R,Twist_1.00R
91,0.0,-0.7340080152094663,-8.720033159603794,-6.8219861691638615,-12.991169277668268,-12.978253819951036,-14.847794604399507,-15.243760760600255,-14.727072400826222,-12.019243584059721
92,0.0,-2.6265463743830018,-7.500101039392743,-9.111189135217781,-14.168589510386406,-15.37132724209332,-13.155672490353684,-15.072036321087827,-11.535191427549371,-13.150462561079374
93,0.0,-1.8437477769958075,-6.954507329013123,-6.057221540266472,-13.31910708168018,-12.170792333000119,-13.639355241527198,-16.015451539269428,-13.297133875590639,-10.38951684447437
94,0.0,-0.873966834151986,-7.872838544775801,-9.531029166103771,-12.872024939755882,-13.76959205711262,-15.979040460134092,-13.32081592286072,-14.058188143926177,-11.60977931284335
95,0.0,-1.0227900144800812,-8.633365163196418,-5.890298748312736,-12.551923099259081,-15.000356883523644,-12.578399083985797,-15.929717965721114,-11.229825165488283,-9.818424294815047
96,0.0,-1.5329396017763497,-8.683466989809125,-7.521756731467622,-11.138758105390075,-12.735034038973698,-12.697483432821038,-15.133462271953304,-11.577565920260051,-12.617139867637283
97,0.0,-1.5822092301936095,-8.545807946581755,-9.551731145078643,-10.939596194871637,-12.300199724954322,-13.848408794734162,-15.973487200730213,-13.750046280189164,-12.967958449267414
98,0.0,-1.3907542893607112,-6.4914386250673815,-8.105775142176975,-10.6487892597763,-12.748638264977199,-14.619217482257795,-14.039161978747495,-11.786818279955249,-11.185203549511735
99,0.0,-0.723870762739133,-5.260935280513253,-5.680393484361501,-10.580754411965765,-12.648788213965187,-13.142262217386051,-15.428325743001107,-13.843369124146786,-11.908678955508417
100,0.0,-1.6479097967837117,-5.232487193490718,-6.69819784901021,-12.137507009126,-14.573762072103836,-12.482556226713742,-15.22240417620329,-13.69237153226974,-13.053044024602734
101,0.0,-1.1469368332824934,-5.858518879679709,-6.678090346233979,-11.804962982680653,-12.091918664695271,-14.415305038401504,-12.846991013113257,-12.850221384148059,-10.0845048725811
102,0.0,-1.0505895478991492,-8.477529607105213,-6.739753421594529,-14.045803283707132,-15.137969137216501,-14.671964733366208,-15.245905998265535,-11.676143644281005,-10.258275587071855
103,0.0,-2.426608933052952,-7.257105796508128,-7.1121939557774105,-12.571691593915604,-15.217233512358154,-12.921084728804605,-12.780330622646735,-13.1085065109488,-10.854320624049965
104,0.0,-2.0597038663155898,-7.847168455720121,-8.555470258855038,-11.40459206572582,-12.972742505274176,-13.084809709928852,-15.569520029943487,-11.387544705975348,-12.164413627055028
105,0.0,-0.8098830777134762,-5.602241310674887,-8.255792244164848,-12.5342007912913,-13.440529079622301,-14.753692957072134,-12.766358984144691,-14.82282713586262,-12.678899718599888
106,0.0,-0.1544905179460465,-6.515420490402671,-5.631702669298804,-13.88974915027971,-13.632678644291472,-13.145061700788574,-15.35849681280773,-11.4344895930031,-10.106322508125704
107,0.0,-0.5018800380216146,-7.565775977657211,-7.433554717426656,-12.545035323042576,-15.318981215831023,-15.575059491332365,-12.947073136027154,-12.562869126169394,-11.948263509665784
108,0.0,0.255748672294263,-5.333904499431691,-6.594964061519173,-10.67790641104981,-15.27232715375542,-15.619108833104079,-15.030415434506702,-11.274506369212252,-9.674060109157523
109,0.0,0.39576209337851953,-6.637833696815258,-7.300643065982965,-11.68321625842383,-15.232930028263977,-12.79080090249049,-16.18506377218269,-14.98837447788923,-11.04797720779704
110,0.0,-0.7876366157374077,-6.701483229265463,-8.032937518594029,-12.906305754244253,-14.129841331716547,-13.728682774134763,-13.600100213379394,-11.92668480735362,-11.943588914060992
111,0.0,-0.39924541748997644,-8.19350167716949,-9.345587270767725,-13.57642390922216,-14.217847566632186,-13.47087597920584,-14.413278027298528,-15.048004617545173,-10.411986736996823
112,0.0,-1.120561792771928,-5.676124126213081,-7.454916524083073,-13.602258060114364,-15.662304653420314,-15.001264565626059,-13.48878585478314,-12.837843704900308,-11.670638312989215
113,0.0,0.482547639743232,-4.99292219886031,-7.487319902602259,-13.451199390713432,-12.706945567945517,-14.177900122189248,-15.324685427285509,-13.908354471002498,-9.63135618812176
114,0.0,-2.447692015122616,-7.980080507479879,-7.526899265376846,-12.749784975379374,-12.971499237237845,-14.211983615432995,-16.223062827623192,-12.339319991437602,-13.436604960562276
115,0.0,-2.667895071199332,-6.464732670977113,-7.573477021425374,-13.772806280408238,-15.067123637860126,-14.077439565070042,-12.599017868303502,-14.263814172653818,-9.560838601975856
116,0.0,0.7687058564037135,-5.3266847248666,-7.056816313336462,-10.532880100216467,-14.032251614036625,-14.276183447358118,-15.395334979846293,-14.703311035476686,-11.52132581942842
117,0.0,-1.8640395328906854,-5.9786530936853435,-9.132395619694519,-11.203556302845087,-12.033721260802793,-14.172493360754451,-12.817335698317695,-15.116258725606915,-12.864550305051203
118,0.0,-1.640277308992467,-5.292567041533198,-9.451349473094698,-12.53182065382037,-14.868405044815848,-15.1170841580699,-12.585402782202486,-11.461905844936972,-11.347220120965774
119,0.0,-2.7705102138620545,-6.963250956313827,-5.940640982323356,-12.099952256781382,-12.920799352270327,-12.927370855441522,-15.382046455164692,-12.71680012289227,-13.051750215226646
120,0.0,-1.5212204548888664,-5.732887885772792,-6.887871874998872,-12.381707968752295,-14.022644431347645,-16.30708909680408,-13.282979648512185,-11.763264405000228,-9.692668222533918
121,0.0,-2.5764884100015317,-7.3518253436705105,-7.227847748998997,-11.561686645771523,-12.82595640886153,-12.485489983051558,-13.465529334457123,-14.423525180183924,-9.628961215261885
122,0.0,-1.6349129043890287,-7.876480452552297,-6.211289638388719,-13.436578640272204,-15.178515616819404,-15.937171922748192,-12.98681996477645,-14.178437713217589,-11.275632112033506
123,0.0,-0.707721139838589,-7.988335399039355,-8.972015014065601,-13.414672259937058,-15.60359502167136,-15.037678347732468,-12.668276658140233,-12.673548671802365,-10.120231408334618
124,0.0,-3.024780125180313,-6.587997219030023,-9.380385181646462,-14.182307927165155,-13.726845600665094,-12.92523933705194,-15.643865801564825,-11.223961642291066,-12.434139281273183
125,0.0,-3.152275995034696,-7.095581475947791,-8.712541264304543,-10.715769698119013,-15.201326906514458,-15.320223689604761,-13.745665058569848,-12.162352712760015,-13.388846990789359
126,0.0,-0.4971043698571189,-8.84100153229816,-6.619372325831231,-13.477305373469738,-15.591984084011056,-14.631998843818447,-13.09703291880527,-15.158190398173922,-12.155455686597938
127,0.0,-0.6319533281564333,-7.948636652775257,-7.580922417771675,-11.96284955384963,-13.668102838309114,-14.049344528862447,-14.268706675390137,-12.643574927749263,-12.755664240150564
128,0.0,-1.4296424615731957,-8.56083333199608,-9.322643091364482,-13.495497641559334,-14.885602778867685,-13.070982514892782,-14.539786062039072,-13.732287817392157,-10.617758137559317
129,0.0,-2.9481921904659436,-7.314307051044109,-7.097067680026548,-13.124135036960375,-14.986105614202799,-13.026001037488331,-16.390872633319386,-12.843549247762583,-11.34406967670056
130,0.0,-1.0673045152129315,-6.531646254634832,-6.646336001697156,-14.228293727469643,-14.137721601947241,-13.8056462492199,-15.317077883532527,-11.931638399758587,-9.89618551215485
131,0.0,-1.2707889630358775,-6.853475595112212,-5.886514903918648,-13.693504657828868,-12.521008357208782,-13.247500531975895,-13.720929359275715,-14.212735808680442,-11.324438378432957
132,0.0,-0.5964167586828699,-7.507502981621142,-9.316237820696069,-11.444171964700221,-14.530352582730044,-15.264350693022907,-13.933646215245613,-11.484797013246947,-12.077980776914721
133,0.0,-1.6122744225155812,-5.749307079651387,-9.192897459014402,-13.346785836353394,-15.609750168398108,-16.243951191291657,-13.997745717917548,-12.274384601358069,-10.126441595842419
134,0.0,0.6826878522418096,-8.354578167163275,-5.677469450261562,-11.02913284130162,-15.21110181753698,-13.437657093849676,-13.227421065543485,-11.524053155529995,-13.274098918274293
135,0.0,0.7567968830950882,-7.580972384151243,-8.850520369310686,-13.162837312174629,-13.427515820637465,-13.229653222969315,-15.669122446135779,-14.434770738961713,-13.26654139352299
136,0.0,0.16695616305846173,-5.874629499237129,-7.0431281902740945,-13.715353304765019,-15.508132158421839,-14.692002134930044,-16.30842455427768,-12.417789022995436,-12.499292581526458
137,0.0,-0.15034392070387392,-7.213780527923647,-8.204939911880574,-11.990952183513357,-12.425871083887685,-15.544118973384366,-13.388430356549257,-13.459171542650308,-10.322390973019164
138,0.0,-2.5613590540184177,-7.312428184578673,-6.292198313941197,-13.38241397031928,-12.272845468068544,-14.728352276598345,-13.036269384049847,-12.931720563772437,-12.374640794407195
139,0.0,-2.7047215173730366,-7.574110540819001,-9.104714739247004,-13.050529614354643,-12.635220970134682,-16.102410780595346,-13.871776730906126,-14.515859333241838,-13.184199662114354
140,0.0,-2.7182148059125772,-6.794230652876221,-8.601239138512621,-12.08224393792842,-12.26770476463586,-15.809508543029875,-16.417639617716475,-11.943052121053771,-12.465993354423038
141,0.0,-2.2520883502058884,-7.666802529928371,-5.936647873337876,-12.125897290997425,-12.869153721916994,-14.581612381930888,-12.768340682387317,-13.9159572682878,-12.756997279093753
142,0.0,0.44701265584745853,-5.671941769457091,-5.732761464722435,-13.98879505004911,-12.51516950540561,-15.772256105221095,-14.612642171252823,-11.32638641664489,-12.310206566958215
143,0.0,-3.171732289212662,-7.103178662332255,-5.748717345583056,-10.778817338754733,-13.588863038007375,-15.035266298364288,-14.261853538782978,-15.177865559239313,-9.78678298395906
144,0.0,-0.20265852491919523,-7.49690209300037,-8.881135868460857,-12.278923635822899,-13.431317506819633,-15.26710879804676,-15.836641431093387,-11.690691461611525,-11.09275718557512
145,0.0,-2.1161892795364987,-6.894332125264827,-6.855446227604292,-13.108778193423044,-14.90642907794512,-14.429125344821149,-13.801511079084946,-14.30451484472469,-13.243653579763848
146,0.0,0.49614499028075,-5.951194789058148,-7.887337895317983,-10.420105151980646,-13.577891039782044,-13.214784969468528,-13.38784780080109,-13.7351579550495,-13.490009237597686
147,0.0,-1.1540770839986467,-8.749360837611338,-7.951125336027664,-10.388053064874413,-12.495486919922445,-15.433704290674138,-16.352992834964876,-13.634931514880714,-12.744010946217669
148,0.0,-1.2435732994249873,-7.358661432133491,-9.405757527239565,-10.866746121175115,-14.97113015582126,-12.852540683576398,-15.754321176625169,-14.917549815806762,-12.016993180957693
149,0.0,-1.3670729758475044,-5.741930831906963,-6.713927159824445,-10.737711284243405,-12.038375218585529,-13.223188545388602,-16.29575629484931,-11.594748927872898,-10.614202212331872
150,0.0,-1.2936219258044799,-6.7689635271027235,-8.357128785360718,-13.481964288592636,-15.061214422860989,-15.292849958771331,-14.296739968735693,-13.602835238585307,-10.506236798166357
151,0.0,-0.04758950111683502,-5.435675433716375,-8.598568794269147,-11.480607593236819,-14.847748668512669,-12.646047940711055,-15.075040914887534,-12.320927351429361,-10.455380253539158
152,0.0,0.2576732165997009,-7.919336661481589,-9.21275346801575,-11.65723742955634,-14.910080190019745,-14.880923454394368,-12.749044501787964,-14.48442865280571,-13.028279247308358
153,0.0,-1.3683769486060247,-5.378688282156126,-7.44619362029861,-11.563894639591458,-14.658809988122991,-14.287617939205013,-13.093948834246218,-15.098161470560004,-11.41730333893587
154,0.0,-0.0057428181734824335,-5.835268468867933,-6.930858052242715,-11.208862152715275,-13.646071797772015,-15.357069201502577,-15.651987085993573,-13.043917415051943,-11.364080798457685
155,0.0,0.42458840599274117,-5.110603529733393,-6.705805978306813,-14.098090229491419,-14.235871748204023,-14.497674951487575,-15.850235008764503,-14.020119648674633,-12.609669415328653
156,0.0,-2.804311515341949,-7.623069796305951,-5.881831489715758,-12.303134896227098,-12.124794466602946,-14.660890032109707,-14.804126234341407,-13.851937504642724,-12.512621308370163
157,0.0,0.6456212730166544,-8.33057209460368,-6.505928746389783,-11.252188572106975,-11.957734606081,-13.531415687788803,-14.567660038358317,-11.453951795080735,-9.545684309311033
